,idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b1_RO,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,d38x,d39,d14a,d14b,d40a,d40b,d41,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,l31,l32,l33,l34,l35,l36,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
76,1174187,203,Fabricated Metal Products,Medium,North West,Firm,0,1,Yes,Fabricated metal products,Manufacturing,North West,37,No,1,Romanian,25,10,2023,14,56,2022,12,31,Romania,f22,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,No,100,0,0,0,No,,2008,6,2008,25,No,Yes,ISO 9001,Yes,30.0,No,Don't know (spontaneous),20000,No,,,,,,No,,No,,,,120,Cubic meters,,No,,,,,Yes,Yes,7.0,Don't know (spontaneous),Yes,Less than 1 hour,Don't know (spontaneous),None,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,100,14429709,Fourteen Million Four Hundred Twenty Nine Thousand Seven Hundred Nine,9129488.0,Nine Million One Hundred Twenty Nine Thousand Four Hundred Eighty Eight,5898681,Five Million Eight Hundred Ninety Eight Thousand Six Hundred Eighty One,10,0,90,Germany,Land border crossing,Less than one day,20.0,Less than one day,20.0,3.0,No,,,,2008.0,75,25,Yes,Germany,Land border crossing,Less than one day,22.0,Don't know (spontaneous),,Don't know (spontaneous),Major obstacle,Major obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,Most managers and most production workers,Yes,The firmâs performance,Promotions were based solely on performance and ability,Rarely or never,International,Don't know (spontaneous),,,Yes,Don't know (spontaneous),No change,Prices set by HQ,No,,No obstacle,Yes,No,Fully assembled metal structures.,"Before, components were delivered, and now the whole product is delivered.",No,,,No,,Don't know (spontaneous),No,,,No,,,,,,Major obstacle,No,,No,Yes,100,0,0,0,0,Yes,495000.0,1235000.0,,1730000.0,,0.0,,0.0,,0.0,,0.0,,0.0,Yes,1730000.0,1235000.0,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,100,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,Don't know (spontaneous),250.0,100,"Internet and mobile banking, including direct debit transfer",Don't know (spontaneous),No obstacle,Don't know (spontaneous),Don't know (spontaneous),No,,,,,"Yes, fully",Don't know (spontaneous),,"Yes, fully","Yes, fully",Yes,4.0,,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,5,6,2,4,3,7,1,45,45,40.0,5.0,20,20,0,4.0,3.0,,,45.0,No,,,,,,,5,6.0,,No,,,45,48,9.0,Don't know (spontaneous),No,,,No,,Moderate obstacle,Major obstacle,Inadequately educated workforce,5,7,2,4,11,1,9,14,13,12,3,15,10,6,8,2053300,193300.0,358450,13750,5200,4716000.0,,2053300.0,4716000.0,4382000.0,10,Don't know (spontaneous),25,10,2023,16,38,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,5,No,Yes,Over 250.000 to 1 million,2511,North West,Medium (20-99),Fabricated Metal Products,Panel,1.8592333,2.2233462,5.231645,19
77,1174188,204,Other Services,Medium,Centre,Firm,0,0,Yes,Machinery and equipment,Manufacturing,Centre,31,No,1,Romanian,14,9,2023,14,17,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,2004,32,2004,19,No,No,,No,,,,3500,Yes,2.0,1.0,40.0,None,,No,,No,,,,40,Cubic meters,,Yes,1.0,2.0,None,,Yes,No,,,Yes,2.0,,None,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,100,19100600,Nineteen Million One Hundred Thousand Six Hundred,19200900.0,Nineteen Million Two Hundred Thousand Nine Hundred,14500300,Fourteen Million Five Hundred Thousand Three Hundred,100,0,0,,,,,,,,,,,,,80,20,No,,,,,,,,No obstacle,No obstacle,No,,Strongly agree,Tend to agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Does not apply (spontaneous),Does not apply (spontaneous),Local â main product sold mostly in same municipality where establishment is located,Too many to count,,45.0,Yes,Yes,"Yes, there is more competition",No,No,,Major obstacle,No,,,,No,,,No,,80.0,No,,,No,,,,,,Minor obstacle,No,,Yes,No,50,50,0,0,0,Yes,200000.0,0.0,70.0,,10.0,,20.0,,0.0,,0.0,,0.0,,No,,,Yes,No,"Yes, a line of credit only",Private commercial banks,2019.0,3000000.0,Yes,Yes,Yes,No,Yes,No,3000000.0,3.0,3500000.0,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,90,"Internet and mobile banking, including direct debit transfer",2.0,4.0,600.0,99,"Internet and mobile banking, including direct debit transfer",1.0,Major obstacle,Strongly agree,8,No,,,,,"Yes, fully",,4.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Major obstacle,Major obstacle,Very severe obstacle,Major obstacle,Minor obstacle,Major obstacle,1,5,4,6,7,2,3,32,30,28.0,4.0,5,20,3,0.0,2.0,,,28.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Major obstacle,Major obstacle,Electricity,10,11,13,1,9,14,15,3,12,6,5,4,7,2,8,1459200,218800.0,33600,25000,3400,7500300.0,,1413600.0,4500300.0,8000300.0,16,19,14,9,2023,15,8,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,No,No,Over 250.000 to 1 million,2822,Centre,Medium (20-99),Other Services,Panel,8.226238,8.6996,20.01711,62
78,1174189,206,Other Manufacturing,Large,South East,Firm,0,0,Yes,Motor vehicles,Manufacturing,South East,149,No,1,Romanian,2,8,2023,10,12,2022,12,31,Romania,s6,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.A. - AcÈiuni care sunt tranzacÈionate privat sau nu sunt tranzacÈionate,Yes,100,0,0,0,No,,2002,Don't know (spontaneous),2002,25,No,Yes,SR EN 9001,No,,,,35000,Yes,Don't know (spontaneous),,,None,,Yes,Don't know (spontaneous),No,,,,50,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Major obstacle,Manufacturing of ,,,,,100,44000000,Forty Four Million,32000000.0,Thirty Two Million,23000000,Twenty Three Million,80,0,20,Germany,Land border crossing,Less than one day,5.0,Less than one day,5.0,1.0,No,,,,2010.0,70,30,No,,,,,,,,Moderate obstacle,No obstacle,No,,Tend to disagree,Tend to disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,Too many to count,,15.0,Yes,No,No change,No,No,,No obstacle,No,,,,No,,,Yes,300000.0,90.0,No,,,No,,,,,,No obstacle,No,,No,Yes,50,50,0,0,0,Yes,1000000.0,0.0,50.0,,0.0,,50.0,,0.0,,0.0,,0.0,,Yes,125000.0,0.0,Yes,No,"Yes, a line of credit only",Private commercial banks,2022.0,500000.0,Yes,Yes,Yes,No,No,No,1000000.0,2.0,Don't know (spontaneous),No,"Yes, a line of credit only",,Application was approved in full,,,Yes,100,"Internet and mobile banking, including direct debit transfer",1.0,1.0,500.0,100,"Internet and mobile banking, including direct debit transfer",1.0,No obstacle,Don't know (spontaneous),20,Yes,1.0,No,No,,No,,100.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,Don't know (spontaneous),,No,,,No,,,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Moderate obstacle,1,6,2,5,7,3,4,149,144,119.0,30.0,20,59,40,0.0,10.0,,90.0,,Yes,75.0,,No employees trained,,No female employees trained,,13,13.0,,Yes,2.0,12.0,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Major obstacle,No obstacle,Labor regulations,10,6,13,5,1,3,12,11,15,9,7,14,2,4,8,11000000,5000000.0,600000,3000,2000,15500000.0,,8000000.0,3600000.0,30000000.0,19,16,2,8,2023,14,35,Somewhat truthful,Are estimates computed with some precision,Several visits,0.0,40.0,4,No,No,Less than 50.000,2930,South East,Large (100 or more),Other Manufacturing,Panel,2.0482864,2.4590428,4.0752487,141
79,1174191,208,Retail,Small,North West,Firm,0,0,Yes,Retail,Retail services,North West,5,No,1,Romanian,24,4,2023,12,42,2022,12,31,Romania,s3,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,2005,3,2004,33,No,No,,No,,,,250,No,,,,,,No,,No,,,,6,Cubic meters,,No,,,,,No,No,,,No,,,,,With no difficulty at all,No obstacle,Retail trade of ,,,,,100,575000,Five Hundred Seventy Five Thousand,,,417645,Four Hundred Seventeen Thousand Six Hundred Forty Five,100,0,0,,,,,,,,,,,,,70,30,No,,,,,,,,No obstacle,No obstacle,No,,Does not apply (spontaneous),Does not apply (spontaneous),,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,3,,40.0,No,No,No change,No,No,,No obstacle,No,,,,No,,,No,,,No,,,No,,,37.0,Square Meters,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,75,Credit cards,3.0,1.0,50.0,90,"Internet and mobile banking, including direct debit transfer",0.0,No obstacle,Does not apply (spontaneous),No time was spent,No,,,,,"Yes, fully",,40.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,Does not apply,No obstacle,No obstacle,Does not apply,No obstacle,4,6,3,5,2,1,7,6,6,,,0,0,6,,,5.0,,6.0,No,,,,,,,No need to hire any new permanent full-time workers,,,Yes,4.0,No severance was paid,6,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Does not apply,4,8,14,11,2,1,7,6,12,10,13,5,15,3,9,216000,97200.0,3000,600,540,,Don't know (spontaneous),,,,1,9,24,4,2023,13,20,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,No,No,Over 250.000 to 1 million,4759,North West,Small (5-19),Retail,Panel,131.01723,145.44362,320.7131,9
80,1174192,211,Other Services,Medium,Bucharest-Ilfov,Firm,0,0,Yes,Land transport and transport via pipelines,Other services,Bucharest-Ilfov,64,No,1,Romanian,6,9,2023,14,31,2022,12,31,Romania,s5,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,No,,1999,5,1999,30,No,No,,No,,,,180,No,,,,,,No,,No,,,,18,Cubic meters,,No,,,,,No,No,,,No,,,,,With some difficulty,Moderate obstacle,Provide services of ,,,,,100,5900000,Five Million Nine Hundred Thousand,,,5000000,Five Million,100,0,0,,,,,,,,,,,,,60,40,No,,,,,,,,Moderate obstacle,Moderate obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,No,,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),No,No,"Yes, there is more competition",Prices are regulated,No,,Moderate obstacle,No,,,,No,,,No,,,No,,,No,,,,,,Moderate obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,50,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,10.0,200.0,100,"Internet and mobile banking, including direct debit transfer",15.0,Moderate obstacle,Strongly agree,No time was spent,No,,,,,"Yes, fully",,24.0,"Yes, fully","Yes, fully",VAT refund not available,,,Yes,Moderately difficult,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,1,7,2,6,4,3,5,64,93,,,0,20,44,,,15.0,80.0,,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Moderate obstacle,Tax rates,13,12,10,6,4,3,1,11,8,15,7,14,2,9,5,900000,400000.0,300000,200000,150000,,,,,,15,20,6,9,2023,15,14,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,4,Yes,Yes,City with population over 1 million,4922,Bucharest-Ilfov,Medium (20-99),Other Services,Panel,79.52368,82.4482,305.82635,208
81,1174193,217,Other Manufacturing,Medium,North West,Firm,0,0,Yes,Machinery and equipment,Manufacturing,North West,62,No,1,Romanian,24,8,2023,11,52,2022,12,31,Romania,s1,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.A. - AcÈiuni care sunt tranzacÈionate privat sau nu sunt tranzacÈionate,Yes,100,0,0,0,No,,1995,100,1995,15,No,Yes,ISO 9001,No,,,,8500,No,,,,,,No,,No,,,,60,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,100,10450500,Ten Million Four Hundred Fifty Thousand Five Hundred,9140000.0,Nine Million One Hundred Forty Thousand,10600000,Ten Million Six Hundred Thousand,100,0,0,,,,,,,,,,,,,70,30,Yes,Germany,Land border crossing,1.0,,1.0,,2.0,No obstacle,No obstacle,No,,Strongly agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,,40.0,No,No,"Yes, there is more competition",Prices are regulated,Yes,Not at all,No obstacle,No,,,,No,,,No,,85.0,No,,,No,,,,,,No obstacle,No,,No,No,90,10,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,"Yes, a line of credit only",Private commercial banks,2021.0,1500000.0,Yes,Yes,Yes,No,No,No,1800000.0,1.0,Don't know (spontaneous),No,"Yes, a line of credit only",,Application was approved in full,,,No,70,"Internet and mobile banking, including direct debit transfer",3.0,0.0,25.0,80,"Internet and mobile banking, including direct debit transfer",0.0,Minor obstacle,Strongly agree,20,Yes,1.0,No,No,,No,,160.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,5,6,7,2,1,3,4,62,71,50.0,12.0,8,30,12,0.0,6.0,,,30.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Very severe obstacle,Inadequately educated workforce,10,15,5,2,1,11,9,8,13,12,14,7,4,3,6,2976000,892800.0,102000,3800,1700,3135555.0,,2430000.0,2743000.0,1120000.0,16,19,24,8,2023,12,28,Truthful,Are estimates computed with some precision,Several visits,0.0,50.0,4,No,No,Less than 50.000,2821,North West,Medium (20-99),Other Manufacturing,Panel,3.3762665,2.5750992,7.291614,21
82,1174194,221,Food,Large,South East,Firm,1,0,Yes,Food,Manufacturing,South East,217,No,1,Romanian,25,8,2023,14,43,2022,12,31,Romania,s1,,,,,,Shareholding company with shares traded on the stock market,,S.A. - AcÈiuni care sunt tranzacÈionate public,No,100,0,0,0,Yes,20.0,1992,45,1992,25,No,Yes,"ISO 9001, ISO 14001, FSSC22000",No,,,,715000,Yes,1.0,0.0,20.0,None,,No,,No,,,,18300,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Very severe obstacle,Manufacturing of ,,,,,100,360590000,Three Hundred Sixty Million Five Hundred Ninety Thousand,183200000.0,One Hundred Eighty Three Million Two Hundred Thousand,167260000,One Hundred Sixty Seven Million Two Hundred Sixty Thousand,85,0,15,Germany,Land border crossing,1.0,,1.0,,Don't know (spontaneous),No,,,,2010.0,70,30,No,,,,,,,,Major obstacle,Moderate obstacle,Yes,Yes,Tend to agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,4,Below 50%,,No,No,"Yes, there is more competition",Yes,No,,No obstacle,No,,,,No,,,No,,80.0,No,,,No,,,,,,Moderate obstacle,No,,Yes,Yes,80,20,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,"Yes, both a line of credit and a loan",Private commercial banks,2021.0,5000000.0,Yes,Yes,Yes,No,No,No,5400000.0,3.0,14200000.0,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,60,"Internet and mobile banking, including direct debit transfer",2.0,0.0,50.0,75,"Internet and mobile banking, including direct debit transfer",0.0,Moderate obstacle,Tend to agree,10,Yes,1.0,No,Yes,One week or less,No,,20.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,No obstacle,2,3,4,6,5,7,1,271,277,214.0,57.0,25,100,89,70.0,24.0,,,100.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Moderate obstacle,Very severe obstacle,Electricity,2,8,4,12,15,7,1,11,3,13,9,6,14,10,5,15874900,1200000.0,8850000,1150000,4600,284190000.0,,14485300.0,166400000.0,75000000.0,16,9,25,8,2023,15,43,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,1040,South East,Large (100 or more),Food,Panel,2.2037032,2.7670825,5.5879865,137
83,1174195,223,Retail,Medium,North East,Firm,1,1,Yes,Services of motor vehicles,Retail services,North East,49,No,1,Romanian,19,7,2023,16,12,2022,12,31,Romania,s1,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,Yes,100,0,0,0,No,,1993,3,1993,19,No,No,,No,,,,1500,Yes,1.0,0.0,10.0,None,,No,,No,,,,15,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Major obstacle,Retail trade of ,,,,,100,53700000,Fifty Three Million Seven Hundred Thousand,,,33090000,Thirty Three Million Ninety Thousand,100,0,0,,,,,,,,,,,,,30,70,Yes,Belgium,Land border crossing,2.0,,2.0,,1.0,Very severe obstacle,Minor obstacle,No,,Tend to agree,Tend to agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,Between 50% and 90%,,No,No,"Yes, there is more competition",Yes,No,,No obstacle,No,,,,No,,,No,,,No,,,No,,,760.0,Square Meters,,Moderate obstacle,No,,No,Yes,70,30,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,"Yes, a line of credit only",Private commercial banks,2021.0,1500000.0,No,,,,,,,1.0,1500000.0,No,No,Interest rates were not favorable,,,,Yes,70,Debit cards,2.0,1.0,35.0,70,"Internet and mobile banking, including direct debit transfer",1.0,Major obstacle,Tend to agree,10,Yes,1.0,No,No,,"Yes, fully",75.0,,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,No obstacle,Minor obstacle,4,1,2,5,6,7,3,49,45,,,5,38,6,,,3.0,,38.0,No,,,,,,,No need to hire any new permanent full-time workers,,,No,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Moderate obstacle,Moderate obstacle,Access to finance,13,14,11,10,1,7,3,15,12,8,2,6,5,4,9,2350000,940000.0,14760,939,2600,,30000000.0,,,,16,19,19,7,2023,16,40,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,4530,North East,Medium (20-99),Retail,Panel,23.949291,25.709005,62.373623,95
84,1174196,224,Other Manufacturing,Large,North West,Firm,0,1,Yes,Furniture,Manufacturing,North West,54,No,1,Romanian,4,5,2023,10,17,2022,12,31,Romania,s2,,,,,,Sole proprietorship,,S.R.L. cu proprietar unic,No,100,0,0,0,Yes,100.0,1994,54,1994,20,Yes,Yes,ISO 9023,No,,,,120,No,,,,,,No,,No,,,,40,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,Minor obstacle,Manufacturing of ,,,,,100,7800000,Seven Million Eight Hundred Thousand,8500000.0,Eight Million Five Hundred Thousand,9500000,Nine Million Five Hundred Thousand,95,5,0,,,,,,,,,,,,2004.0,50,50,No,,,,,,,,Minor obstacle,No obstacle,No,,Strongly disagree,Strongly disagree,No action was taken,No,,No,,,,No,,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,,60.0,Yes,No,"Yes, there is more competition",No,No,,Minor obstacle,No,,,,No,,,No,,40.0,No,,,No,,,,,,No obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,No,No,"Yes, a line of credit only",Private commercial banks,2020.0,Don't know (spontaneous),Yes,Yes,No,No,No,No,60.0,1.0,800000.0,No,"Yes, a line of credit only",,Application was approved in full,,,No,100,"Internet and mobile banking, including direct debit transfer",2.0,20.0,30.0,100,"Internet and mobile banking, including direct debit transfer",20.0,No obstacle,Strongly disagree,No time was spent,No,,,,,"Yes, partially",24.0,,"Yes, fully","Yes, fully",No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,Moderate obstacle,Major obstacle,Minor obstacle,No obstacle,Moderate obstacle,5,2,4,7,3,1,6,54,93,40.0,14.0,10,10,20,40.0,0.0,,90.0,,No,,,,,,,10,10.0,,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,Corruption,14,2,13,10,1,9,6,3,11,12,4,15,7,5,8,1769613,556000.0,62516,1500,1200,8500.0,,1558066.0,0.0,95555.0,16,19,4,5,2023,11,11,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,Less than 50.000,3100,North West,Large (100 or more),Other Manufacturing,Panel,10.049254,9.820312,22.981739,32
85,1174197,226,Fabricated Metal Products,Medium,South East,Firm,1,0,Yes,Fabricated metal products,Manufacturing,South East,27,No,1,Romanian,14,9,2023,10,2,2022,12,31,Romania,s8,,,,,,Shareholding company with non-traded shares or shares traded privately,,S.R.L.,Yes,100,0,0,0,No,,2008,15,2008,20,No,No,,No,,,,1500,No,,,,,,No,,No,,,,30,Cubic meters,,No,,,,,Yes,No,,,No,,,,,With no difficulty at all,No obstacle,Manufacturing of ,,,,,90,3800000,Three Million Eight Hundred Thousand,3600000.0,Three Million Six Hundred Thousand,4000000,Four Million,100,0,0,,,,,,,,,,,,,10,90,No,,,,,,,,No obstacle,No obstacle,Yes,Yes,Tend to disagree,Tend to disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,Most managers and some production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,,No,No,No change,No,No,,No obstacle,No,,,,Yes,CNC cutting with water jet,"The water jet cutting system leaves the cut material smooth, without rough edges or sharp ends. So it does not require reworking and shortens the execution time of the final product. The new system is ecological and does not produce toxic vapor",No,,70.0,No,,,No,,,,,,No obstacle,No,,No,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,"Yes, a loan only",Private commercial banks,2021.0,Refusal (spontaneous),No,,,,,,,1.0,Refusal (spontaneous),No,No,No need for a loan - establishment had sufficient capital,,,,No,95,"Internet and mobile banking, including direct debit transfer",1.0,0.0,200.0,98,"Internet and mobile banking, including direct debit transfer",0.0,No obstacle,Tend to disagree,2,Yes,1.0,No,No,,"Yes, partially",,16.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,4,7,2,6,3,1,5,27,22,23.0,4.0,2,21,0,0.0,2.0,,100.0,,No,,,,,,,8,No hires,Lack of skilled labor,No,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Major obstacle,Inadequately educated workforce,15,9,13,14,3,6,5,8,11,2,12,7,1,10,4,1300000,580000.0,20000,2000,1500,1500000.0,,1200000.0,1400000.0,Don't know (spontaneous),16,19,14,9,2023,10,45,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,No,Less than 50.000,2511,South East,Medium (20-99),Fabricated Metal Products,Panel,2.6696663,3.3764637,7.192474,129
